主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,備註說明
台北市,20150805,20141223,北市勞就字第10335952000號,愛點科技股份有限公司/王柏仁,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇,原告之訴駁回(原處分維持)
台北市,20150616,20150409,北市勞就字第10338254800號,怡盛公寓大廈管理維護股份有限公司/莊子慧,性別工作平等法第21條第1項;性別工作平等法第21條第2項,拒絕受僱者育嬰留職停薪復職之請求;育嬰留職停薪復職不利處分,
台北市,20160603,20160203,北市勞就字第10401764000號,食昌企業股份有限公司/蔡篤清,性別工作平等法第13條第1項;性別工作平等法第13條第2項;性別工作平等法第36條,雇主未盡工作場所性騷擾防治義務、且因受僱者提出性別工作平等法申訴而予以不利處分,審議駁回(原處分維持)
台北市,20150805,20150529,北市勞就字第10430672402號,大及室內設計裝潢股份有限公司/高麗川,性別工作平等法第13條第2項;性別工作平等法第36條,雇主未盡工作場所性騷擾防治義務;雇主因受僱者提出申訴而為不利處分,
台北市,20160205,20151211,北市勞就字第10433722900號,唐誠生物科技有限公司/楊鵑妃,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,
台北市,20160331,20151211,北市勞就字第10434597300號,橡木桶洋酒股份有限公司/陳春安,性別工作平等法第13條第1項;性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,訴願駁回(原處分維持)
台北市,20160603,20151218,北市勞就字第10435537000號,潘韞珊/即魔法牙醫診所/潘韞珊,性別工作平等法第21條第2項,受僱者依性別工作平等法請假而受不利處分,上訴駁回(原處分維持)
台北市,20160205,20151207,北市勞就字第10435858000號,世統國際有限公司/羅世鑫,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,
台北市,20160205,20151223,北市勞就字第10437520400號,昌和企業有限公司/內田亨,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇,
台北市,20160603,20160420,北市勞就字第10438168100號,全聯實業股份有限公司/林敏雄,性別工作平等法第7條,雇主對求職者招募、甄試、進用因性別或性傾向而差別待遇,
台北市,20160824,20160203,北市勞就字第10438457600號,吳明羨/即洋明企業社/吳明羨,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇,審議駁回(原處分維持)
台北市,20160824,20160411,北市勞就字第10439473200號,健康福祉事業股份有限公司/李佳孟,性別工作平等法第21條第1項;性別工作平等法第21條第2項,受僱者依性別工作平等法請假遭拒及受不利處分,訴願駁回(原處分維持)
台北市,20161202,20160216,北市勞就字第10439900500號,有意思數位人文股份有限公司/沈秉文,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，因性別或性傾向而有差別待遇,原告之訴駁回(原處分維持)
