主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,備註說明
彰化縣,20220105,20211125,1100416557,交通部臺灣鐵路管理局/杜微,性別工作平等法第10條,雇主對受僱者薪資之給付，不得因性別或性傾向而有差別待遇；其工作或價值相同者，應給付同等薪資。但基於年資、獎懲、績效或其他非因性別或性傾向因素之正當理由者，不在此限。,
彰化縣,20220905,20220802,1110287152,依均安牙醫診/陳首銘,性別工作平等法第7條,雇主對求職者或受僱者之招募、甄試、進用、分發、配置、考績或陞遷等，不得因性別或性傾向而有差別待遇。但工作性質僅適合特定性別者，不在此限。,
彰化縣,20221105,20220902,1110326554,交通部臺灣鐵路管理局/杜微,性別工作平等法第21條第2項,受僱者為前項之請求時，雇主不得視為缺勤而影響其全勤獎金、考績或為其他不利之處分。,訴願中
彰化縣,20170105,20161221,府勞動字第1050424063號,有限責任國立員林高級家事商業職業學校員生消費合作社附設彰化縣私立員家幼兒園(劉玉龍),性別工作平等法第13條第2項,雇主於知悉性騷擾之情形時，未採取立即有效之糾正及補救措施,
彰化縣,20170305,20170123,府勞動字第1060005173號,臺灣飛準畜牧機械自動化股份有限公司(莊維新),性別工作平等法第21條第2項,公司因員工申請陪產假而予以解僱之不利處分,
彰化縣,20170905,20170831,府勞動字第1060295169A號,媚登峰健康事業股份有限公司(莊雅清),性別工作平等法第21條第1項,雇主拒絕員工申請生理假,
彰化縣,20170905,20170904,府勞動字第1060297723A號,彰化基督教醫療財團法人彰化基督教醫院(郭守正),性別工作平等法第13條第2項,雇主於知悉性騷擾之情形時，未採取立即有效之糾正及補救措施,
彰化縣,20190505,20190320,府勞動字第1080075917號,揚泰興業有限公司/鐘明義,性別工作平等法第13條第2項,雇主雇主於知悉前條性騷擾之情形時，應採取立即有效之糾正及補救措施。,訴願中
彰化縣,20190505,20190321,府勞動字第1080080264號,項全機械科技有限公司/池錦祥,性別工作平等法第17條,前條受僱者於育嬰留職停薪期滿後，申請復職時，除有下列情形之一，並經主管機關同意者外，雇主不得拒絕,
彰化縣,20210301,20210120,府勞動字第1100014125號,亞樂健身有限公司/許仕杰,性平法第13條第2項,雇主於知悉前條性騷擾之情形時，應採取立即有效之糾正及補救措施。,
彰化縣,20210701,20210521,府勞動字第1100185363號,鋐洲有限公司/鍾素嬌,性平法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，不得因性別或性傾向而有差別待遇。,
