主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,備註說明
花蓮縣,20200715,20200624,"府社勞字第 1090118413B 號",丘君祐診所,性別工作平等法第17條,育嬰留職停薪期滿後，雇主拒絕復職,
花蓮縣,20161101,20160909,府社勞字第1050165568號,臺北榮民總醫院鳳林分院,性平法第15條第1項,未依規定給予產假,
花蓮縣,20170101,20161123,府社勞字第1050218330B號,弘元石材廠股份有限公司,性平法第13條第1項,僱用受僱者三十人以上者，應訂定性騷擾防治措施、申訴及懲戒辦法，並在工作場所公開揭示,
花蓮縣,20170302,20170106,府社勞字第1050248279B號,翔聯企業股份有限公司花蓮二廠,性平法第13條第1項,僱用受僱者三十人以上者，應訂定性騷擾防治措施、申訴及懲戒辦法，並在工作場所公開揭示,
花蓮縣,20180301,20180206,府社勞字第1070027174B號,莊省即彩韻農業文創整合行銷工坊,性別工作平等法第13條第2項,雇主於知悉前條性騷擾之情形時應採取立即有效之糾正及補救措施,
花蓮縣,20190103,20181213,府社勞字第1070243841B號,鶴田商行賴品瑋,性別工作平等法第11條第1項,雇主對受僱者之退休、資遣、離職及解僱，不得因性別或性傾向而有差別待遇,
花蓮縣,20191104,20191003,府社勞字第1080222107A,威合股份有限公司/曾昭豐,性別工作平等法第13條第1項,未將性騷擾防治措施、申訴及懲戒辦法於工作場所公開揭示,
花蓮縣,20201103,20201030,府社勞字第1090214227號,丘君祐診所/丘君祐,性別工作平等法第17條,育嬰留職停薪期滿後，雇主拒絕復職,
花蓮縣,20210902,20210824,府社勞字第1100166405號,丘君祐診所/丘君祐,性別工作平等法第17條,育嬰留職停薪期滿後，雇主拒絕復職,
花蓮縣,20211103,20211026,府社勞字第1100213557B號,富堡汽車旅館有限公司,性別工作平等法第13條第2項,雇主於知悉性騷擾之情形時，未採取立即有效之糾正及補救措施,
花蓮縣,20220301,20220119,府社勞字第1110013635B號,陳俊宏即苗軒企業社,性別工作平等法第13條第2項,雇主於知悉性騷擾之情形時，未採取立即有效之糾正及補救措施,
花蓮縣,20220705,20220629,府社勞字第1110127347B號,游青穆即貝宸企業社,性別工作平等法第13條第2項,雇主於知悉性騷擾之情形時，未採取立即有效之糾正及補救措施,
